Messages,Lang
abuso de comunicacion de voz solo insulta,SPANISH
yo wisper,SPANISH
-100,[]
GG,ENGLISH
побед подряд: 28,RUSSIAN
НА ТРОЛЕ УЕБОК,RUSSIAN
КУПИЛ БЫ БКБ,RUSSIAN
пп,RUSSIAN
so noobs,ENGLISH
cдаюсь,RUSSIAN
1vs 9,ENGLISH
NICE TEAM,ENGLISH
EZ HUSKAR,SPANISH
yeah if you all report jakiro that would be nice,ENGLISH
GO PUSH,ENGLISH
EZ HUSKAR,SPANISH
1 vs 9,ENGLISH
nice,ENGLISH
ezz,ENGLISH
EZ MID,SPANISH
gg,ENGLISH
мы дебустеры идите мид не убивайте морфа он будет пачку держать в миду ,RUSSIAN
5 минут и игра ваша ,RUSSIAN
репорт белке и лине пожалуйста,RUSSIAN
пак репорт,RUSSIAN
руинит,RUSSIAN
АААААААААААА,RUSSIAN
О поседа,RUSSIAN
ебать,RUSSIAN
ты где был то,RUSSIAN
я тебя спросить хотел,RUSSIAN
я уже 7300 взял,RUSSIAN
я играл 20 ммов так же,RUSSIAN
мб ты лузал,RUSSIAN
много,RUSSIAN
смотрю на тебя и не понимаю,RUSSIAN
как он мог тебе мид въебать,RUSSIAN
ты же блять отсталый нахуй,RUSSIAN
?,[]
это твои тиммейты должны ставить в чат,RUSSIAN
пукнул сф,RUSSIAN
пунул в чат,RUSSIAN
смотрю на тебя,RUSSIAN
браток,RUSSIAN
и не понимаю,RUSSIAN
)))),[]
нахуй теьбе мид дали,RUSSIAN
)))))))))))))))))))),[]
как в 2018,RUSSIAN
сын яторо,RUSSIAN
слышь придурок,RUSSIAN
это ты всех больших крипов убиваешь?,RUSSIAN
на мк,RUSSIAN
ты только привязочников и можешь ебать,RUSSIAN
черт ебаный),RUSSIAN
"я не понимаю, зачем ты чат юзаешь",RUSSIAN
ненавижу тебя просто,RUSSIAN
если от тебя толку нет всё равно,RUSSIAN
чо пиздеть,RUSSIAN
так и запишем,RUSSIAN
сын яторо делает,RUSSIAN
глейпнир,RUSSIAN
и ниху,RUSSIAN
1 игра,RUSSIAN
на мк,RUSSIAN
не фармит,RUSSIAN
мк как герою уже 8 лет,RUSSIAN
и ты впервые на нем решил сыграть?,RUSSIAN
казел,RUSSIAN
拆了吧,CHINESE
jd,SPANISH
推了 ,CHINESE
推了啊,CHINESE
速度,CHINESE
兄弟别折磨了,CHINESE
deads,ENGLISH
yow invo,ENGLISH
GG,ENGLISH
wtf,ENGLISH
dont def pls,ENGLISH
4 v 5,ENGLISH
bobo sven ,SPANISH
./.,[]
lol,SPANISH
 4 v 5 and lose,ENGLISH
izzi,ENGLISH
nice,ENGLISH
ez,SPANISH
ez,SPANISH
lol,SPANISH
Lol,SPANISH
а де вайпер?,RUSSIAN
gg,ENGLISH
our mid cant kill 1 supp ,ENGLISH
wow,ENGLISH
nice,ENGLISH
end,ENGLISH
end,ENGLISH
end,ENGLISH
End?,ENGLISH
Wait void done a crono at least,ENGLISH
Let him kill some one in crono,ENGLISH
gg,ENGLISH
REP VIPER TY,ENGLISH
gg,ENGLISH
？？,[]
？,[]
？？,[]
run？？,ENGLISH
g next,ENGLISH
gg,ENGLISH
f[f[f[f[[f,ENGLISH
0,[]
cerf,ENGLISH
cerf,ENGLISH
сука,RUSSIAN
report io,ENGLISH
rep nyx ty,ENGLISH
all report thi grifer ,ENGLISH
rep nyx,ENGLISH
ty,ENGLISH
U CAN end ,ENGLISH
come no one cant def ,ENGLISH
rep nyx and go nxt,ENGLISH
ого,RUSSIAN
богатый,RUSSIAN
mb next?,ENGLISH
wcid ,ENGLISH
idk u can end ,ENGLISH
pls end ,ENGLISH
dont forget to report nyx ty,ENGLISH
i hate knee grows,ENGLISH
Gl hf all,ENGLISH
Enjoy the game,ENGLISH
ty,ENGLISH
Gg,ENGLISH
GG,ENGLISH
lomaite,ENGLISH
sd 3,SPANISH
),[]
),[]
phura 4,ENGLISH
у челы доту 1 раз играет каеф ,RUSSIAN
dali akk im,ENGLISH
pzdc,SPANISH
eblany,ENGLISH
ну кто ж знал,RUSSIAN
что сд 3 это хуйня,RUSSIAN
dota agent,SPANISH
соло,RUSSIAN
kirm tu kos bajit,SPANISH
без трента играли сейчас,RUSSIAN
eh,ENGLISH
congrats,ENGLISH
....,[]
赶紧推！,CHINESE
打不过,CHINESE
在来干我。。猫猫,CHINESE
真来啊,CHINESE
怕啥,CHINESE
阿珍，你来真的啊,CHINESE
пп,RUSSIAN
gg,ENGLISH
JUGG STEAM REPORTED,ENGLISH
F PISS OF TRASH,ENGLISH
JUGG I F YOUR MOTHER HARD,ENGLISH
GG,ENGLISH
mid kto,ENGLISH
хз,RUSSIAN
бомба,RUSSIAN
банку взял,RUSSIAN
и кайф,RUSSIAN
0.5,[]
ПОПРОШУ подождать у вас и так ФОРА,RUSSIAN
ты ч долбаеб,RUSSIAN
на наге,RUSSIAN
ты 5 торнов,RUSSIAN
В меня жмешь,RUSSIAN
6666,[]
666,[]
都是好东西,CHINESE
兄弟盟随机的好呀,CHINESE
88,[]
gege,ENGLISH
GG,ENGLISH
GG,ENGLISH
gg wp,ENGLISH
lol,SPANISH
dunno what i thought would happen there,ENGLISH
lol,SPANISH
0-11 xd,SPANISH
jesus,ENGLISH
gg ,ENGLISH
GG WP,ENGLISH
ez axe,ENGLISH
lol,SPANISH
ez ulti,SPANISH
bruh,ENGLISH
its ez right ngger if get biggest noob hero in the game,ENGLISH
like come be a man fggot,ENGLISH
proud play this noob shit knife on u head,ENGLISH
\ue7d0,SPANISH
фб сделали,RUSSIAN
мои парни,RUSSIAN
стой,RUSSIAN
ам брат бф скоро?,RUSSIAN
тебя ебать не должно,RUSSIAN
прости,RUSSIAN
простил,RUSSIAN
GG COMEBACK,ENGLISH
щас бы дефать,RUSSIAN
дуры,RUSSIAN
изи,RUSSIAN
изи попуски,RUSSIAN
спушить не можете бездари,RUSSIAN
извините что трахнули,RUSSIAN
пацаны не извиняются,RUSSIAN
рампагу,RUSSIAN
изи уебки,RUSSIAN
сука ты уебище на шейкере только на 1 меня ульт потратил,RUSSIAN
мне похуй,RUSSIAN
вас 3,RUSSIAN
это лп брат ,RUSSIAN
мне поебат,RUSSIAN
ладна,RUSSIAN
ok,ENGLISH
АХАХАХА,RUSSIAN
急急急,CHINESE
G了吧   下一把,CHINESE
ало нахуй,RUSSIAN
а нах дефаете дурочки,RUSSIAN
[p,SPANISH
хз,RUSSIAN
на 8к уже афк бы встали на 15,RUSSIAN
),[]
да я не ебу как на вокере,RUSSIAN
можно так хуево,RUSSIAN
да да да,RUSSIAN
8к),RUSSIAN
друзьям с дсе расскаэжешь,RUSSIAN
gg ez,SPANISH
боллаут,RUSSIAN
gg,ENGLISH
sira dota nyo,SPANISH
ayy,ENGLISH
 tanga netong mga chinese nato,ENGLISH
lc nag duduel d ginagamit first skill,ENGLISH
nanisi kapa,ENGLISH
tanga amp,SPANISH
mongkeys eat bannan pls,ENGLISH
dont play dota,ENGLISH
tumahimik ka feeling enchong dee,ENGLISH
chingchong,SPANISH
bobo chinese,ENGLISH
pero mas bobo yung bisaya,ENGLISH
hahaha,SPANISH
eww feeling enchong,ENGLISH
hello monkeys,SPANISH
panget mo,ENGLISH
TANGA,SPANISH
san ka,ENGLISH
okay panget,ENGLISH
bawal magsalita panget hoy,ENGLISH
sira dota mo?,SPANISH
shh,ENGLISH
sorry na,ENGLISH
haha,ENGLISH
eat bannan ,ENGLISH
sorry,ENGLISH
my friend said sorry,ENGLISH
tignan mo na eat banana ka tuloy,ENGLISH
hahaha,SPANISH
ano yun,SPANISH
eat banana,ENGLISH
wow,ENGLISH
d ko alam chinese yan eh,ENGLISH
di masakit,ENGLISH
eat banana,ENGLISH
HAHAHHAHAHA,SPANISH
DODGER,ENGLISH
hahays,ENGLISH
taas ping,ENGLISH
ggwp,ENGLISH
tang ina nyo chinese,ENGLISH
ulul,SPANISH
EZ,SPANISH
gg bai,ENGLISH
mga hayop,ENGLISH
Gg covid carrier,SPANISH
не ахуевай гуль,RUSSIAN
?,[]
oh revenge,ENGLISH
lol,SPANISH
really ,ENGLISH
Strong,ENGLISH
player,ENGLISH
 0 3,[]
ape,SPANISH
lag sorry,ENGLISH
joiners,ENGLISH
oops,ENGLISH
осталый хуесос с лотаром да,RUSSIAN
легенда 2,RUSSIAN
ops,ENGLISH
MIRANA JOINERS HAHAHAHAH,SPANISH
cool,ENGLISH
player,ENGLISH
oops,ENGLISH
need help?,ENGLISH
ggwp,ENGLISH
GG,ENGLISH
\ue121,SPANISH
manba out,ENGLISH
x bro,SPANISH
?,[]
black dick,ENGLISH
can u stop talking,ENGLISH
annoying ass kid,ENGLISH
rofl,SPANISH
ofc yall from china too,ENGLISH
fucking bum,ENGLISH
WTF,ENGLISH
RP FOR ME HAHA,ENGLISH
?,[]
u need pause?,ENGLISH
idiot,ENGLISH
out,ENGLISH
?,[]
die,SPANISH
monkey,ENGLISH
4200HP,ENGLISH
GGWP,ENGLISH
gg,ENGLISH
88 burden,ENGLISH
mamba out,SPANISH
gg,ENGLISH
gg,ENGLISH
gg,ENGLISH
out,ENGLISH
why cancel,ENGLISH
gg ez,SPANISH
u see my 3 pos?,ENGLISH
cause im pos 5,ENGLISH
best of the best,ENGLISH
we got putin lover in team,ENGLISH
hahaha,SPANISH
putin faggot,ENGLISH
GG,ENGLISH
gg,ENGLISH
хуйня на легеонке,RUSSIAN
GG,ENGLISH
GG,ENGLISH
GG,ENGLISH
тупые уебаны,RUSSIAN
на цме,RUSSIAN
и миране,RUSSIAN
毒龙在魔晶那,CHINESE
去干它,CHINESE
GG end,ENGLISH
gg,ENGLISH
沉默是3,CHINESE
GG,ENGLISH
gg ez i sus,SPANISH
лан,RUSSIAN
сносите,RUSSIAN
нахуй,RUSSIAN
там в боте,RUSSIAN
ОН РАЗРЕШАЕТ,RUSSIAN
два хуесоса тупоголовых,RUSSIAN
как так про своих родоков можно,RUSSIAN
ну че ты,RUSSIAN
я зарунил игру(,RUSSIAN
дровке,RUSSIAN
и рубику,RUSSIAN
простите,RUSSIAN
меня,RUSSIAN
СЛИЛ МИД,RUSSIAN
GG ez,SPANISH
XD,SPANISH
ez,SPANISH
can u just leave ,ENGLISH
what are you doing now,ENGLISH
lol,SPANISH
EZ,SPANISH
zet это самость,RUSSIAN
а самость это zet,RUSSIAN
кал,RUSSIAN
это зет,RUSSIAN
а зет,RUSSIAN
это кал,RUSSIAN
у нас хач в команде,RUSSIAN
я залью ему специально ,RUSSIAN
ненавижу чурок ,RUSSIAN
ты обижен?,RUSSIAN
дазлие,RUSSIAN
дазлик,RUSSIAN
чо,RUSSIAN
ты обижен?,RUSSIAN
da,SPANISH
на что?,RUSSIAN
на жизнь,RUSSIAN
),[]
да перестань,RUSSIAN
5 смертей + байбек,RUSSIAN
0 5 Пиздец,RUSSIAN
седня без бая,RUSSIAN
???,[]
лан,RUSSIAN
СОСО,RUSSIAN
сносите узник,RUSSIAN
3000 игр,RUSSIAN
сидишь на 2к овераге,RUSSIAN
),[]
главное найти причину почему ты гандон а не почему он нафидил,RUSSIAN
хахаха,RUSSIAN
1.5к игр,RUSSIAN
если че,RUSSIAN
пьяный,RUSSIAN
1700 игр,RUSSIAN
2000 реутинг,RUSSIAN
солянова,RUSSIAN
умничка,RUSSIAN
Пиздец ты лошок арк),RUSSIAN
изи,RUSSIAN
слабые,RUSSIAN
хуй соси жирабисина,RUSSIAN
чЕ ТОЛСТЫЙ ЗА РУНОЙ ПОШЕЛ,RUSSIAN
ХУК ДАЙ,RUSSIAN
НУЧУ,RUSSIAN
НАУЧУ,RUSSIAN
сука соси член,RUSSIAN
ХРЯК,RUSSIAN
3 еблана,RUSSIAN
Ашзвырщашвцыофажд,RUSSIAN
паскуда дай хук,RUSSIAN
это как братва,RUSSIAN
из-за жирного проебали,RUSSIAN
"согласен, но говорят что из за меня",RUSSIAN
Паскуда жирная,RUSSIAN
Ащзвозщжофцыжп,RUSSIAN
АХАХАХАХА,RUSSIAN
ПАСКУДА ЖИРНАЯ,RUSSIAN
+,[]
gg,ENGLISH
end,ENGLISH
gg>?,ENGLISH
mk is done haha,ENGLISH
yeah,ENGLISH
dogson wannabe,ENGLISH
lets report ,ENGLISH
mk offlane lul,ENGLISH
omni mid lul,SPANISH
cause he might be in your team later,ENGLISH
ye,ENGLISH
MK ASKED,ENGLISH
WHY I LEFT HIM AT LANE,ENGLISH
when creep are in our tower,ENGLISH
throne please,ENGLISH
why he grew up below average,ENGLISH
ещкереее,RUSSIAN
gg,ENGLISH
gg,ENGLISH
орчид на вивере покупать,RUSSIAN
первым,RUSSIAN
ну законтрил,RUSSIAN
сап вивер,RUSSIAN
ХАРОШ8,RUSSIAN
сФ,RUSSIAN
соло,RUSSIAN
?,[]
та что вы пытаетесь,RUSSIAN
вы же всосали,RUSSIAN
зодбе,RUSSIAN
вы,RUSSIAN
бесим тебя по приколу,RUSSIAN
зондбеее,RUSSIAN
бесите?),RUSSIAN
зондбе,RUSSIAN
зондбн далболатория,RUSSIAN
"Леон,сосни мне",RUSSIAN
я тут вас с дробовика,RUSSIAN
я щас хрюкну а не сосну,RUSSIAN
зондбирую,RUSSIAN
уебок,RUSSIAN
хрю хрю,RUSSIAN
похрюкай,RUSSIAN
зщмбе вирус,RUSSIAN
ХРЮЮ,RUSSIAN
хохол нищий,RUSSIAN
контр хрюк?,RUSSIAN
ЗОНДЕБЕЕ,RUSSIAN
Za Zондбееееееее,SPANISH
slaVa Zondbe,SPANISH
Слава Україні,RUSSIAN
божье соло,RUSSIAN
езе,RUSSIAN
тима раков,RUSSIAN
Слава Україні,RUSSIAN
????????????????????,[]
специально руинят 3 выблядка,RUSSIAN
специально,RUSSIAN
в одной точке карты стоят,RUSSIAN
качают,RUSSIAN
твари ебаные,RUSSIAN
в какой?,RUSSIAN
не дефаю,RUSSIAN
end,ENGLISH
ima afk,SPANISH
kill that dog,ENGLISH
ty,ENGLISH
wp,ENGLISH
？？,[]
mk,ENGLISH
you wisdom,ENGLISH
pudge,ENGLISH
wp,ENGLISH
IDIOT,ENGLISH
gg,ENGLISH
end,ENGLISH
let slark abandon,ENGLISH
pls,ENGLISH
why,ENGLISH
you too ,ENGLISH
XAXA,ENGLISH
GG,ENGLISH
аббадон керри через блейд мейл,RUSSIAN
темап,RUSSIAN
не,RUSSIAN
гг,RUSSIAN
свен аганим собрал,RUSSIAN
кери аббадон,RUSSIAN
дрим тим,RUSSIAN
аганим норм,RUSSIAN
но не так рано,RUSSIAN
у вас контроль где БКБ,RUSSIAN
0-3,[]
поебашил крипов ,RUSSIAN
на войде ,RUSSIAN
o.O,SPANISH
репорт войд,RUSSIAN
open>?,ENGLISH
drink water,ENGLISH
relax,ENGLISH
go next guys,ENGLISH
this is pathetic,ENGLISH
wp lina,SPANISH
F,ENGLISH
wow pa,ENGLISH
U CAN WIN,ENGLISH
DONT GIVE UP,ENGLISH
CMON BUYBACK,ENGLISH
turbo is longer,ENGLISH
void rlly ancient 1?,ENGLISH
gg,ENGLISH
ggwp,ENGLISH
速推,CHINESE
发生了什么？,CHINESE
你们去中路呀,CHINESE
之气耻辱,CHINESE
здарова старый,RUSSIAN
zdarova,ENGLISH
ВЫШОДИТЕ ИЗ ИГРЫ,RUSSIAN
OK,ENGLISH
gg,ENGLISH
"cgfcb,j",ENGLISH
spasibo,SPANISH
wh,ENGLISH
+20 ,[]
)),[]
дауны,RUSSIAN
gg ,ENGLISH
this puck ,ENGLISH
55555555,[]
od 16 ,SPANISH
555555555555,[]
puck ,ENGLISH
0,[]
0-5,[]
555555555,[]
0-6 hahahahaha,SPANISH
blame time <3,ENGLISH
super ez,SPANISH
super ez,SPANISH
you look my team 5555,ENGLISH
55555555555,[]
spec no blademail,ENGLISH
def,ENGLISH
boring,ENGLISH
boring,ENGLISH
Ez,SPANISH
dr,SPANISH
ez in all lane,SPANISH
ez spec,SPANISH
no od you no win ,ENGLISH
dr,SPANISH
lol,SPANISH
lol,SPANISH
偷鸡猴好蠢,CHINESE
他没鸡鸡偷啊,CHINESE
谁是中路,CHINESE
废物,CHINESE
JD,SPANISH
粪坑,CHINESE
一个单线程蓝猫加废物蚂蚁,CHINESE
不准结束,CHINESE
必须30分钟,CHINESE
浪费30分钟时间,CHINESE
你们能打的吖,CHINESE
为啥放弃了就,CHINESE
ахует,RUSSIAN
ок,RUSSIAN
meow,ENGLISH
СОСИ,RUSSIAN
Окей,RUSSIAN
я фидить,RUSSIAN
соси получается,RUSSIAN
???,[]
???,[]
???,[]
pasib,SPANISH
love,ENGLISH
пп,RUSSIAN
gg,ENGLISH
naga sosi,SPANISH
WTF ZHE IS  GAME,ENGLISH
gg end,ENGLISH
do something,ENGLISH
joker,ENGLISH
zz,ENGLISH
lina carry wp hahaha,ENGLISH
go straight,ENGLISH
so ez,SPANISH
NOOOOOOBSSSSSSSSS,SPANISH
他不玩了,CHINESE
算了,CHINESE
1 lane,SPANISH
straight,ENGLISH
0/4,[]
ez mid,SPANISH
fast end,ENGLISH
ez mid fk noob ,SPANISH
BOITES MENYA,SPANISH
XD,SPANISH
ez,SPANISH
xD,SPANISH
\ue025,SPANISH
ez axe,ENGLISH
sA,SPANISH
end ,ENGLISH
end ,ENGLISH
end,ENGLISH
report ,ENGLISH
who,ENGLISH
BARA BUY MIDAS THAN BLAME CARRY ,ENGLISH
0-4 tanga,SPANISH
WHO CARES ,ENGLISH
STUPID SUPPORT ,SPANISH
not even hard support,ENGLISH
he tries hard,ENGLISH
3 8 ,[]
feeder atm ,ENGLISH
report for feed,ENGLISH
and grieving,ENGLISH
base,ENGLISH
still 0 ,ENGLISH
hahaa,ENGLISH
sad,SPANISH
why u kill me dog,ENGLISH
why kill my dog,ENGLISH
gg,ENGLISH
这种sk,CHINESE
都能赢,CHINESE
嘻嘻,CHINESE
真的是卡尔 和 lc出生中的出生,CHINESE
report our mid ,ENGLISH
不如AA,CHINESE
aa也是,CHINESE
确实出生,CHINESE
卡尔能被白虎单杀么也是牛逼的,CHINESE
report our dog mid,ENGLISH
mirrai,ENGLISH
how u kill invoker,ENGLISH
he just like a bot,ENGLISH
huh,ENGLISH
report,ENGLISH
pls,ENGLISH
ok,ENGLISH
xd,SPANISH
report,ENGLISH
一路传奇打得到炒饭 堂的局 不超过5把,CHINESE
太傻逼了这个游戏,CHINESE
ничему жизнь не учит,RUSSIAN
ty,ENGLISH
remake,ENGLISH
bosen mas,ENGLISH
jancok koyok dolen ml,ENGLISH
Gg,ENGLISH
:(,[]
ggwp,ENGLISH
ez,SPANISH
Я убежал,RUSSIAN
он врет он за деревьями без маны стоит,RUSSIAN
G,ENGLISH
С бай беками любой сможет,RUSSIAN
gg,ENGLISH
不是，屠夫不勾我，一血都不送,CHINESE
пиздец,RUSSIAN
тебе,RUSSIAN
Фартануло,RUSSIAN
Ниодного дабл удара не выпало,RUSSIAN
ez mid,SPANISH
ебать ты дайн на од ,RUSSIAN
может ты даун?,RUSSIAN
???,[]
да я угараю,RUSSIAN
бристл лайк,RUSSIAN
GG,ENGLISH
не трогай козла ,RUSSIAN
2,[]
1vs 1,ENGLISH
ursa ez,SPANISH
EZ MID,SPANISH
REPORT OD,ENGLISH
AFK,ENGLISH
OD AFK BASE ,ENGLISH
PLS LOOK AT OD ITEMS,ENGLISH
LOL,SPANISH
GG,ENGLISH
REP OD PLS,ENGLISH
到底谁抢大哥,CHINESE
低于开局,CHINESE
我仇恨这么高,CHINESE
meepo 10 iq max level hero,ENGLISH
Xd,SPANISH
max level hero still play like dog,ENGLISH
4vs5,ENGLISH
still win,ENGLISH
Meepo 10iq,ENGLISH
max level hero,ENGLISH
5min,ENGLISH
he is ansht bracke,ENGLISH
pls,ENGLISH
dont forget to report meepo dog,ENGLISH
dog,ENGLISH
FAST END,ENGLISH
report lifestealer pls ,ENGLISH
пофармили?,RUSSIAN
GG END FAST,ENGLISH
REPORT MID,ENGLISH
?,[]
q le dijeron al ancient q kiteo,SPANISH
que tu vieja es mi vieja tambien,SPANISH
por eso no la puedo ibsultar,SPANISH
xd,SPANISH
你们得罪末日了吗,CHINESE
？,[]
火枪玩成这个b样还是别玩了,CHINESE
给大神送分,CHINESE
你知不知道你这个散单是用来拉野的,CHINESE
nc off,ENGLISH
hahaha,SPANISH
off pa,ENGLISH
na axe v solo vebal,ENGLISH
закончите пожалуйста,RUSSIAN
по 1 линии,RUSSIAN
парни,RUSSIAN
ну и нахуй,RUSSIAN
ты дефаешь,RUSSIAN
и ноешь что бы пушили?,RUSSIAN
боже ну вместе соберитесь и спушьте,RUSSIAN
что вы тянете,RUSSIAN
GG,ENGLISH
·,[]
.,[]
这45   真的  ,CHINESE
铁杂种,CHINESE
玩个拉比克  放空补   不参团,CHINESE
玩个小小无限送,CHINESE
你这是挣着眼睛说瞎话,CHINESE
推了别守,CHINESE
女王别短兵,CHINESE
Xd,SPANISH
gg,ENGLISH
rompan,ENGLISH
solo defiendo bot,SPANISH
mas anda,SPANISH
te partiria el culo ,SPANISH
pero el davion ,SPANISH
xdddddddddddddddddddddddddddddddddddddddddddddd,SPANISH
pero el davion te regalo la linea,SPANISH
partidor ereS?,SPANISH
de *,SPANISH
preguntale a tu vieja,SPANISH
uy,SPANISH
a ver la llamo y les digo,SPANISH
cual bosque idiota,SPANISH
SI ESTABA ROTAN Y TU NI ASI SACASTE DAGA,SPANISH
TARAO DE MRD,SPANISH
estos bots,SPANISH
los mismos q votaron por putin,SPANISH
uy partidores,SPANISH
SE NOTA QUE LE GANASTE LINEA,SPANISH
DAVION TARAO ,SPANISH
comned,ENGLISH
Zeus lucky,ENGLISH
haha,ENGLISH
haha,ENGLISH
Hahahha,SPANISH
gg mid,ENGLISH
Mantastail zeus,ENGLISH
report zues,ENGLISH
ese zues,SPANISH
3?,[]
2?,[]
!?,[]
1?,[]
1!,[]
9?,[]
GOGOGO,ENGLISH
В трон мы афк кроме дазла ,RUSSIAN
нахуя?,RUSSIAN
унижен,RUSSIAN
!!!,[]
папа твой,RUSSIAN
ты слабый,RUSSIAN
mk mid bois,ENGLISH
can end,ENGLISH
i got last pick mk,ENGLISH
against phnx,ENGLISH
gg guys,ENGLISH
no def,ENGLISH
g bot,ENGLISH
ty,ENGLISH
can straight,ENGLISH
hahahahahahaha,SPANISH
haha,ENGLISH
hahahahahahahahaha,SPANISH
no brainer,ENGLISH
hh,ENGLISH
gg,ENGLISH
gg,ENGLISH
gg,ENGLISH
打的好,CHINESE
。。。,[]
伤害，控制拉满,CHINESE
推吧，一波，速度，下一把,CHINESE
我不信,CHINESE
除非你A,CHINESE
我肯定是不去了,CHINESE
装备,CHINESE
always feeder team is for me,ENGLISH
why????,ENGLISH
dota is bullsht,ENGLISH
no why just for me,ENGLISH
god sends you a message brother,ENGLISH
dont waaste your time on dota,ENGLISH
you have something else,ENGLISH
to focus,ENGLISH
sfidis,SPANISH
21 = 4,[]
sad,SPANISH
sf ,ENGLISH
end these mfs,ENGLISH
yes my sex symbol,ENGLISH
we ll do,ENGLISH
вальни еблище пидрила,RUSSIAN
two skin arcanas,SPANISH
0 skills,ENGLISH
pls,ENGLISH
rep tb 4 pick,ENGLISH
i had no support,ENGLISH
you never catch me alive POTTER,ENGLISH
кому не похуй,RUSSIAN
make sure you all report tb,ENGLISH
|,[]
go end,SPANISH
tb ruined your game,ENGLISH
poeple like tb,ENGLISH
~should be banned,ENGLISH
russian tb watching youtube 9k playerrs,ENGLISH
and tries hard :),ENGLISH
yeah xaaxxaxxa,ENGLISH
rep him pls ty,ENGLISH
he watches 10k ,ENGLISH
pros,SPANISH
and he thinks,ENGLISH
oh,ENGLISH
thats nice idead,ENGLISH
i can do that,ENGLISH
i can do that,ENGLISH
xaxaxaxaxa,ENGLISH
xD,SPANISH
ez,SPANISH
tb was trash ,ENGLISH
what you say about sf and veng?,ENGLISH
piece of sit,ENGLISH
sf and venge,ENGLISH
I WAS doingf the same with sniper,ENGLISH
didnt ruin,ENGLISH
with kanda,ENGLISH
bro ,SPANISH
i had 10 game with loser team,ENGLISH
SAME,ENGLISH
i was 3.5 4 days ago,ENGLISH
now 3.1,ENGLISH
good luck ,ENGLISH
me too,ENGLISH
what is this shit,ENGLISH
lost the shit,ENGLISH
dont forget rep sf veng and tb,ENGLISH
i dont understand,ENGLISH
dota is so harbage,ENGLISH
all games like thgat,ENGLISH
one time in your team,ENGLISH
one time on enemy,ENGLISH
or smurf,ENGLISH
DESTROY THE GAME,ENGLISH
just all report tb,ENGLISH
gg,ENGLISH
gg,ENGLISH
sad,SPANISH
gl nexct ember,ENGLISH
hfhf,ENGLISH
CHOCHO,SPANISH
END,ENGLISH
2024 TUSK MID XD,ENGLISH
EZ MID,SPANISH
),[]
q w,ENGLISH
e,SPANISH
АЪААХАХАХА,RUSSIAN
ggs,ENGLISH
1 kill,ENGLISH
ez,SPANISH
4you,ENGLISH
rep lech,SPANISH
gl next,ENGLISH
lesh*,ENGLISH
ебать ты придумал,RUSSIAN
ggs,ENGLISH
sad sdf,SPANISH
bobob,ENGLISH
NUUB SF,ENGLISH
sobra,SPANISH
doom is right,ENGLISH
why u sf u dont know it,ENGLISH
pls shut up qop,ENGLISH
team chat,ENGLISH
SF!,ENGLISH
ez,SPANISH
i thint u,ENGLISH
no one asked,ENGLISH
abotu what u think,SPANISH
?,[]
gg bro,ENGLISH
yea gg qop,ENGLISH
PLEASE END,ENGLISH
ez,SPANISH
boob mo sf,ENGLISH
tabngian ka,SPANISH
ayaw kasi amg bkb,ENGLISH
ez qop,SPANISH
哈哈哈哈,CHINESE
pls shut up,ENGLISH
shabi  yige  bkb mei you ,ENGLISH
hahahahah,SPANISH
noisy,ENGLISH
fast end,ENGLISH
then why def?,ENGLISH
come feed,ENGLISH
if u want us to end,ENGLISH
HAHA,ENGLISH
dumb lesh,ENGLISH
nice recon es,SPANISH
i hope u die in real life after this game,ENGLISH
HAHAHA,SPANISH
toxic spotted,SPANISH
low rank,ENGLISH
btch,ENGLISH
Ez mid,SPANISH
ez leave,ENGLISH
haha,ENGLISH
technical problem,ENGLISH
dont care,ENGLISH
didnt do it in purpose,ENGLISH
ez af,SPANISH
lol,SPANISH
Пизда,RUSSIAN
твою мать,RUSSIAN
mid,SPANISH
why slark smurfing,ENGLISH
rep go,ENGLISH
slark surfing,ENGLISH
xD,SPANISH
dont smurf,ENGLISH
dont surffing2,ENGLISH
ебать лох,RUSSIAN
повезло ,RUSSIAN
ебать ты мення насмешнила),RUSSIAN
ты тут на магнусе,RUSSIAN
чтоэто было?,RUSSIAN
да там такое животное,RUSSIAN
с купленным аккаунтом,RUSSIAN
анлпе,RUSSIAN
анлак,RUSSIAN
),[]
изи 25,RUSSIAN
хуйни не снимет,RUSSIAN
where fortify,ENGLISH
hahahaha,SPANISH
3rd mvp in arow,ENGLISH
sh up,ENGLISH
not mid,ENGLISH
enig mid \ue13b,ENGLISH
ty,ENGLISH
gg,ENGLISH
???,[]
соло,RUSSIAN
у вас керри негр,RUSSIAN
у нас огр пидор,RUSSIAN
+,[]
паузим?,RUSSIAN
???,[]
g,ENGLISH
基地,CHINESE
фп арк,RUSSIAN
солирует,RUSSIAN
bomj,SPANISH
не отменяйте паузу,RUSSIAN
ок,RUSSIAN
до его прихода,RUSSIAN
)),[]
xD,SPANISH
????,[]
)),[]
arc???,SPANISH
изи байт,RUSSIAN
олухи,RUSSIAN
на что забайтил,RUSSIAN
на свой ульт?),RUSSIAN
адаптив,RUSSIAN
монстр,RUSSIAN
изи,RUSSIAN
не бери арка больше плиз,RUSSIAN
"Бл лучше бы пофармилося,чем хуйнёй заниматься",RUSSIAN
особенно на фп,RUSSIAN
злые,RUSSIAN
вы,RUSSIAN
гг лайк,RUSSIAN
не бери,RUSSIAN
фп арка,RUSSIAN
